JOB_NUMBER,USER,TIMESTAMP,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
25,sagittarius,1577789850396,2fb962b5d1df4e7b62e63bb42b6f537ccfdc6967,origin/lua,ios,debug,0.0.0,test1,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
26,sagittarius,1577790220655,bb26c95a08fea4c7f1d278a6a6b1fb93700abeee,origin/lua,ios,debug,0.0.0,test2,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
27,zhouyuan,1577945326634,ff15012f9afc193f03cf08eb438ef1b4eeced9dd,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
28,zhouyuan,1578018091574,c6a7c3a142ccaecb997d6862d8126a3d1c7ef1a0,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
29,zhouyuan,1578106931416,fce4f46072d81cac64e6f126067c0081fc298def,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
30,zhouyuan,1578364425887,9908c355a124c8e0c00b1ffb594bd7ba7cd151a4,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
31,zhouyuan,1578369639131,4bdc1f2b1794e04f5a228f314a28988e368870e0,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
32,zhouyuan,1578377431865,9356ef33f232609a23c750015d71c5e0019cf477,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
33,zhouyuan,1578397505552,7ddf2b2008626fcab631d0dae287e421b9d92888,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
34,zhouyuan,1578450900334,4ac21e91d7a96aa0b48b3ddf55c234e3f591b259,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
35,zhouyuan,1578457685664,ab34be007d4061a650297a4761b73fd1c4e498b6,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
36,zhouyuan,1578463535335,83912675659c6250c4be485c54c0b952c0d8d50a,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
37,sagittarius,1578471810629,f5859fae2a353f959295eae14b4a62de3b380cb6,origin/lua,ios,debug,0.0.0,修改适配问题,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
38,sagittarius,1578472527405,8530f0a0ddceee39ac3fbb96ec73cff46ac6709b,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
39,sagittarius,1578473304574,fc4bc3e1b8a3716dfec6e998ad7a5e9f7f665df7,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
40,sagittarius,1578475081122,bbe1bde520850a459192fd50f56fd37c14191e44,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
